_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c3b4"),36,5b4aa4ead3089013507db1d9,THE BRIEF WONDROUS LIFE OF OSCAR WAO,http://www.amazon.com/The-Brief-Wondrous-Life-Oscar/dp/1594483299?tag=NYTBS-20,Junot Díaz,Riverhead,A nerdy Dominican-American struggles to escape a family curse.,1214697600000,1213401600000,19,0,0,0,12.99,1556,4,Infinity
ObjectId("5c80968cd5cf373b2803c3b5"),37,5b4aa4ead3089013507db1db,FEARLESS FOURTEEN,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,1215302400000,1214006400000,1,0,1,27.95,8.99,1041,4.4,32.16
ObjectId("5c80968cd5cf373b2803c3b6"),38,5b4aa4ead3089013507db1e4,NO CHOICE BUT SEDUCTION,http://www.amazon.com/No-Choice-But-Seduction-Malory/dp/1416537333?tag=NYTBS-20,Johanna Lindsey,Pocket Books,Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.,1215302400000,1214006400000,10,0,1,25,7.99,362,4.1,31.96
ObjectId("5c80968cd5cf373b2803c3b7"),39,5b4aa4ead3089013507db1e5,THE BEACH HOUSE,http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20,Jane Green,Viking, $24.95,A woman’s life changes when she rents out rooms in her Nantucket house.,1215302400000,1214006400000,11,0,1,0,8.99,521,4.1,Infinity
ObjectId("5c80968cd5cf373b2803c3b8"),40,5b4aa4ead3089013507db1f1,TAILSPIN,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20,Catherine Coulter,Putnam,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague protecting a Washington psychiatrist who has been disclosing secrets about his powerful patients.,1215907200000,1214611200000,3,0,1,25.95,8.99,256,4.4,34.64
ObjectId("5c80968cd5cf373b2803c3b9"),41,5b4aa4ead3089013507db1f2,ROGUE,http://www.amazon.com/Rogue-Danielle-Steel/dp/0440243297?tag=NYTBS-20,Danielle Steel,Delacorte,A divorced doctor on the verge of marriage to a kind new man faces a quandary when her exasperating ex-husband, a dot-com millionaire, wants her to work with him on a humanitarian project.,1215907200000,1214611200000,4,0,1,27,7.99,192,4.3,29.59
ObjectId("5c80968cd5cf373b2803c3ba"),42,5b4aa4ead3089013507db1f5,THE LAST ORACLE,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20,James Rollins,Morrow,Sigma Force operatives battle a group of rogue scientists.,1215907200000,1214611200000,7,0,1,26.95,9.99,412,4.5,37.07
ObjectId("5c80968cd5cf373b2803c3bb"),43,5b4aa4ead3089013507db1fd,AMERICA AMERICA,http://www.amazon.com/America-A-Novel-Ethan-Canin/dp/0679456805?tag=NYTBS-20,Ethan Canin,Random House,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,1215907200000,1214611200000,15,0,1,27,11.99,97,3.9,44.41
ObjectId("5c80968cd5cf373b2803c3bc"),44,5b4aa4ead3089013507db202,QUEEN OF BABBLE GETS HITCHED,http://www.amazon.com/Queen-Babble-Gets-Hitched-Cabot/dp/006085202X?tag=NYTBS-20,Meg Cabot,HarperCollins Publishers,NaN,1215907200000,1214611200000,20,0,0,0,9.49,78,3.5,Infinity
ObjectId("5c80968cd5cf373b2803c3bd"),45,5b4aa4ead3089013507db203,THE LAST PATRIOT,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20,Brad Thor,Atria,Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.,1216512000000,1215216000000,1,0,1,26,8.99,631,4.5,34.58
